Transaction ID,Date,Location ID,SKU,Quantity,Value ($)
9c42d970-ad54-47af-a151-8ba6955cc539,2021-02-01,0008,Alpha,2,199.98
3f8cdb5c-3cc6-4851-ab35-315e41374749,2021-02-01,0001,Alpha,1,99.99
b797ce5d-484c-4227-bf8f-9128599439e1,2021-02-02,0009,Gamma,1,39.99
af535905-a385-403d-9eeb-ce10a4749412,2021-02-02,0009,Gamma,1,39.99
b2edee5d-a3d0-4968-a0f8-98af60f51085,2021-02-03,0007,Gamma,1,39.99
064c2530-9ebe-4a2d-bb23-f2da29c2e330,2021-02-03,0007,Gamma,1,39.99
015445eb-ccf3-41e7-9cb4-e764bc900dbb,2021-02-03,0001,Gamma,1,39.99
51215f3d-ef27-4a99-b62f-cbd4f9c0f1d7,2021-02-04,0008,Gamma,1,39.99
92ba81c4-9ba4-464d-99c0-27c7cfaf59c6,2021-02-04,0007,Beta,1,79.99
1e919a8d-aa32-4ddf-929c-34326f1c65d6,2021-02-04,0001,Gamma,1,39.99
eac8edb3-e78f-49df-9be7-5f8715cb2f14,2021-02-05,0009,Gamma,1,39.99
0158313d-5c84-4f4f-8ca8-d903ce0e9913,2021-02-06,0009,Beta,1,79.99
687d77b4-93de-49a3-a601-2a6a32bff039,2021-02-06,0009,Beta,1,79.99
b1693613-01b9-465e-83f7-6659b608e470,2021-02-06,0009,Gamma,1,39.99
8f238c2b-101c-49e8-b241-015bc2619f70,2021-02-06,0008,Gamma,1,39.99
a568312a-16c2-40cf-9094-6400673303f6,2021-02-06,0008,Gamma,1,39.99
01b2a711-94b2-4f49-a26c-14d0f1bede70,2021-02-06,0007,Gamma,1,39.99
7d403526-5d3f-4c24-8199-371749c1a3b3,2021-02-06,0007,Gamma,1,39.99
527c83ea-52c8-41d6-a9a5-6b28394c0d06,2021-02-06,0001,Gamma,1,39.99
f6c99d89-050d-4615-91cd-f8c91d57862d,2021-02-06,0001,Gamma,1,39.99
68964c7f-216a-4bf3-886a-66d6e3d9f859,2021-02-06,0001,Gamma,1,39.99
35f7d90a-3bdc-40f4-9dca-643e6380e7e3,2021-02-07,0008,Gamma,1,39.99
db38d7f2-27f1-44e5-806f-2ef76781ff3a,2021-02-07,0008,Gamma,1,39.99
0645c599-8ae4-495c-afe5-e0156fa1bdc7,2021-02-07,0007,Gamma,1,39.99
f60a66bb-8d0f-48d0-97af-9f9c793fcc34,2021-02-08,0006,Gamma,1,39.99
92e835c7-f934-4f89-9508-dae44c085d20,2021-02-09,0009,Gamma,1,39.99
2bacc45c-3162-43d2-ba3f-b05235d51ec2,2021-02-09,0001,Alpha,1,99.99
2e399775-0e4e-471e-8517-1d80891831dd,2021-02-09,0001,Beta,1,79.99
58422865-8b1a-4f2f-b6a1-adf4afbec624,2021-02-10,0008,Alpha,1,99.99
3c9d8cbc-b075-442f-8c1c-60086ca04af4,2021-02-10,0008,Alpha,1,99.99
5de8955c-1e4f-43d7-ac9e-4ed73e1a2fdf,2021-02-10,0008,Alpha,-1,-99.99
